code word doc_freq count
401 be 99 813
4018 the 93 1864
2827 of 87 957
0 a 86 448
1959 in 85 800
193 and 78 669
4066 to 63 505
275 as 58 207
1544 for 54 181
1587 from 53 158
2850 on 49 217
1799 have 49 164
2099 it 47 117
4384 with 46 165
577 by 46 162
2853 one 39 67
1804 he 38 229
299 at 38 181
187 an 34 88
1507 first 31 55
1204 during 31 48
4355 who 30 48
1846 his 29 132
166 also 28 55
4017 that 27 142
2699 national 27 43
4038 this 26 54
4352 which 26 54
92 after 25 45
439 between 25 36
3598 serve 23 41
402 bear 23 29
2549 member 21 37
4154 two 20 51
2104 its 20 50
4021 their 20 48
4412 year 20 38
2446 make 20 37
4032 they 19 59
4058 time 19 41
3065 play 19 37
1968 include 19 30
2307 lead 18 33
3747 spain 18 25
4337 well 18 19
2783 not 17 46
2742 new 17 30
1149 district 17 28
2958 part 17 28
3961 take 17 27
1294 end 17 26
2824 october 17 25
3057 place 17 21
571 but 16 32
409 begin 16 29
3977 team 16 24
4204 until 16 23
2875 or 15 40
405 become 15 34
2050 into 15 31
3003 people 15 24
2521 may 15 23
1018 december 15 22
2224 know 15 18
3557 second 15 17
1094 dictatorship 15 15
2761 no 14 33
4395 work 14 32
145 all 14 30
2384 locate 14 27
1432 family 14 25
3392 result 14 25
408 before 14 22
1198 due 14 22
2911 over 14 22
4026 then 14 21
4206 up 14 21
315 august 14 20
3816 state 13 31
2894 other 13 30
4400 would 13 30
621 career 13 22
2592 minister 13 19
1452 february 13 16
3749 spanish 13 15
2165 june 13 14
3090 population 13 14
4218 use 12 71
3706 small 12 30
1740 group 12 27
1838 high 12 26
96 against 12 23
3591 september 12 21
3674 single 12 21
4179 under 12 21
2295 later 12 19
2776 north 12 17
1214 early 12 16
1357 european 12 16
1554 former 12 16
2643 most 12 15
4403 write 12 14
3078 politician 12 12
729 city 11 23
4349 where 11 21
3511 same 11 19
1532 follow 11 18
1721 great 11 18
502 both 11 16
4348 when 11 16
588 call 11 14
3728 son 11 14
1850 history 11 13
2694 name 11 13
4194 united 11 12
1892 however 10 22
1858 hold 10 21
4028 there 10 20
1933 ii 10 18
2212 kingdom 10 18
2348 life 10 18
3921 support 10 18
4045 three 10 18
4353 while 10 18
3199 province 10 17
3671 since 10 17
1006 day 10 16
1344 establish 10 16
2901 out 10 16
2124 january 10 14
3726 some 10 14
2838 old 10 13
4386 within 10 12
3368 representative 10 11
1577 francoist 10 10
3131 present 10 10
672 change 9 30
1008 de 9 26
1918 i 9 24
4375 win 9 24
2632 more 9 23
4370 will 9 22
1901 hungary 9 21
2042 international 9 19
3207 public 9 19
3599 service 9 19
4049 through 9 19
1562 found 9 17
4197 university 9 17
1258 elect 9 16
2970 party 9 16
14 about 9 15
2443 major 9 15
3012 period 9 15
1566 four 9 14
3283 reach 9 14
1013 death 9 13
2510 match 9 13
864 consider 9 12
3076 polish 9 12
3282 re 9 12
3302 record 9 12
2658 move 9 11
4063 title 9 11
4244 various 9 11
3366 represent 9 10
4083 total 9 10
2478 many 9 9
4312 war 8 25
669 championship 8 19
232 appoint 8 18
3541 school 8 18
3884 such 8 17
1155 do 8 16
4397 world 8 16
924 county 8 14
3328 region 8 14
262 around 8 13
1235 edition 8 13
1540 football 8 13
385 base 8 10
1096 die 8 10
1497 find 8 10
3071 poland 8 10
4147 turn 8 10
939 create 8 9
1317 enter 8 9
2681 municipality 8 9
4379 winner 8 9
210 another 8 8
237 april 8 8
1512 five 8 8
1696 good 8 8
2303 law 7 52
732 claim 7 42
812 company 7 21
1043 del 7 21
1637 general 7 20
1900 hungarian 7 20
2286 large 7 20
1364 event 7 19
2292 last 7 15
3442 role 7 15
208 announce 7 14
247 area 7 14
730 civil 7 14
3342 release 7 14
3374 research 7 14
3818 station 7 14
49 activity 7 13
1229 economic 7 13
2794 november 7 13
2805 number 7 13
3739 south 7 13
4078 top 7 13
657 century 7 12
824 complete 7 12
2164 july 7 12
3949 system 7 12
4036 third 7 12
933 covid 7 11
2716 near 7 11
3554 sea 7 11
32 accord 7 10
46 active 7 10
1805 head 7 10
2148 join 7 10
2366 list 7 10
2508 master 7 10
2856 only 7 10
3317 reference 7 10
3683 six 7 10
494 border 7 9
646 cause 7 9
703 child 7 9
2068 involve 7 9
2963 participate 7 9
163 along 7 8
176 american 7 8
1443 father 7 8
1541 footballer 7 8
1545 force 7 8
2877 order 7 8
2942 pandemic 7 8
3164 process 7 8
3715 socialist 7 8
3813 start 7 8
454 biography 7 7
808 communist 7 7
1648 geography 7 7
3295 receive 7 7
3742 southwest 7 7
3595 series 6 47
4098 track 6 40
3472 rule 6 27
1660 german 6 26
3632 she 6 22
870 constituency 6 21
3108 power 6 20
2951 paramo 6 19
1259 election 6 18
2328 leon 6 18
721 church 6 16
923 country 6 16
